name,ie,min,max
Диагностика,1,0,1000
Замена амортизационной стойки с разбором,1,1200,2500
Замена амортизационной стойки,1,800,2000
Замена пружины,1,500,2500
Замена амортизатора,1,500,1200
Замена ступицы,1,1200,2500
Ремонт поворотного кулака переднего моста,1,4000,4000
Регулировка подшипника ступицы,1,800,1200
Замена шпильки ступицы,1,300,1600
Замена подшипника ступицы,1,1800,3200
Замена бронзовых втулок (одна сторона),1,1800,2800
Замена нижнего шарового узла,1,800,1500
Замена нижнего шарового узла с разборкой ступицы,1,1600,2500
Замена верхнего шарового узла,1,800,2500
Замена редуктора моста,1,6000,8000
Замена сальника полуоси моста  ,1,1500,2500
Замена сальника полуоси редуктора,1,1500,2500
"Замена сальника(мост,КПП,раздатка)",1,800,1800
Замена переднего редуктора,1,4500,6000
Замена заднего редуктора,1,4500,6000
Замена крестовины карданного вала:,,,
Демонтаж-монтаж 1-ой ,1,1200,1600
Демонтаж-монтаж 2-х,1,1600,2400
Замена карданного вала,1,800,1800
Замена подвесного подшипника,1,1200,1800
Замена  стабилизатора ,1,1200,1800
Замена линка стабилизатора,1,600,900
Замена втулок стабилизатора,1,300,600
Замена привода в сборе,1,800,2200
Замена пыльника привода,1,1500,2300
Замена рычага,1,1500,3000
Замена  резиновых втулок амортизаторов,1,500,900
"Замена продольной,поперечной, реактивной тяг",1,800,1600
Замена сайлентблока,1,500,2500
Замена балки задней,1,4000,8000
Замена подушки двс,1,800,3000
Замена рессоры,1,1500,3500
Замена резиновых втулок рессор(один узел),1,1250,1800
