name,ie,min,max
Замена свечей зажигания,1,150,800
Замена свечей зажигания(со снятием впускного коллектора),1,2500,4000
Замена свечей накаливания за 1 шт.,1,400,800
Замена ролика приводного ремня,1,800,2500
Замена ремня ГРМ(цепной)),1,7000,20000
Замена ремня ГРМ(ременной),1,5000,18000
Замена прокладки клапанной крышки,1,1000,3000
Замена прокладки ГБЦ,1,10000,20000
"Устранение течи поддона ДВС, АКПП",1,1600,2200
Замена помпы,1,2000,10000
Замена ремней навесных,1,300,1000
Замена термостата,1,300,2000
Замена форсунок(дизель) за 1 шт.,1,500,
Чистка и настройка дроссельной заслонки,1,1600,4000
Замена бронепровода,1,100,200
Замена датчика кислорода,1,500,3000
Замена радиатора системы охлаждения,1,1600,4000
Замер компрессии двс,1,500,3000
Регулировка зазоров в клапанах,1,2000,15000
Замена маслосъемных колпачков,1,6000,22000
Замена сальника лобовины,1,1600,
Демонтаж-монтаж,,,
"АКПП,  МКПП",1,5000,15000
ДВС,1,8000,20000
Головка блока цилиндров,1,8000,20000
Компрессор кондиционера,1,1500,5000
Генератор,1,1200,5000
Стартер ,1,1000,5000
Гидроусилитель руля,1,1200,5000
Турбина,1,3500,12000
ТНВД,1,4000,8000
Топливный бак,1,1200,6000
