name,ie,min,max
Замена масла в ДВС,1,300,800
Замена антифриза ,1,500,1200
Замена жидкости ГУР,1,800,1200
Замена масла АКПП,1,500,800
Замена масла АКПП со снятием поддона,1,2100,6000
Замена масла МКПП,1,300,1000
Замена масла в мосту,1,300,600
Замена масла в раздатке,1,300,600
Замена датчика давления масла,1,300,800
Замена датчика температуры,1,300,600
Замена топливного фильтра(бензин),1,500,1200
Замена топливного фильтра в баке,1,1500,2500
Замена топливного фильтра(дизель),1,500,1400
Замена салонного фильтра,1,300,800
Замена воздушного фильтра ,1,100,500
Замена масляного фильтра,1,100,300
